Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG_Per,3P,3PA,3P_Per,2P,2PA,2P_Per,eFG_Per,FT,FTA,FT_Per,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Owned,ER3,TER3
1,Steven Adams\adamsst01,C,26,OKC,4,4,27.3,2.5,8.0,.313,0.0,0.0,,2.5,8.0,.313,.313,1.0,3.5,.286,3.5,8.3,11.8,1.5,0.5,0.8,1.3,2.5,6.0,0,19.919,9.781
2,Bam Adebayo\adebaba01,C,22,MIA,6,6,31.5,4.2,7.2,.581,0.2,0.7,.250,4.0,6.5,.615,.593,5.3,8.0,.667,2.2,6.8,9.0,5.2,1.3,1.7,2.8,3.0,13.8,0,123.336,101.500
3,LaMarcus Aldridge\aldrila01,C,34,SAS,6,6,32.3,6.0,13.5,.444,0.5,1.7,.300,5.5,11.8,.465,.463,4.0,4.7,.857,2.7,4.3,7.0,2.0,0.5,2.0,2.3,2.5,16.5,0,106.225,88.288
4,Nickeil Alexander-Walker\alexani01,SG,21,NOP,6,0,13.8,1.8,7.3,.250,0.8,3.7,.227,1.0,3.7,.273,.307,0.5,0.7,.750,0.3,2.3,2.7,3.3,0.5,0.0,0.7,1.8,5.0,0,16.728,11.269
5,Grayson Allen\allengr01,SG,24,MEM,5,0,16.8,2.2,7.0,.314,1.0,3.8,.263,1.2,3.2,.375,.386,2.0,2.4,.833,0.2,1.8,2.0,1.6,0.4,0.0,1.4,2.0,7.4,0,21.564,10.646
6,Jarrett Allen\allenja01,C,21,BRK,6,3,26.7,3.2,5.5,.576,0.0,0.0,,3.2,5.5,.576,.576,1.3,2.8,.471,3.3,6.3,9.7,1.0,0.3,1.5,1.3,1.8,7.7,0,73.479,63.341
7,Al-Farouq Aminu\aminual01,PF,29,ORL,6,0,23.8,1.3,4.7,.286,0.8,1.7,.500,0.5,3.0,.167,.375,0.7,1.3,.500,1.7,4.8,6.5,1.0,1.0,0.8,1.2,2.5,4.2,0,48.489,39.130
8,Kyle Anderson\anderky01,SF,26,MEM,5,0,20.2,2.8,5.4,.519,0.2,0.8,.250,2.6,4.6,.565,.537,1.4,2.4,.583,0.8,4.0,4.8,2.0,0.8,1.0,0.8,1.6,7.2,0,64.409,58.170
9,Ryan Anderson\anderry01,PF,31,HOU,2,0,7.0,1.0,3.5,.286,0.5,2.5,.200,0.5,1.0,.500,.357,0.0,0.0,,0.0,3.5,3.5,1.0,0.5,0.0,0.5,0.5,2.5,0,19.006,15.107
10,Giannis Antetokounmpo\antetgi01,PF,25,MIL,6,6,32.5,10.0,17.0,.588,0.7,3.3,.200,9.3,13.7,.683,.608,6.0,9.8,.610,1.5,12.3,13.8,7.7,1.3,1.8,4.3,4.2,26.7,0,177.282,143.747
11,Kostas Antetokounmpo\antetko01,PF,22,LAL,2,0,1.5,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0,1.319,1.319
12,Thanasis Antetokounmpo\antetth01,SF,27,MIL,1,0,6.0,1.0,2.0,.500,0.0,0.0,,1.0,2.0,.500,.500,0.0,0.0,,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0,13.192,13.192
13,OG Anunoby\anunoog01,SF,22,TOR,6,6,34.2,5.0,9.0,.556,1.7,3.7,.455,3.3,5.3,.625,.648,0.2,0.5,.333,1.7,5.0,6.7,1.3,1.7,1.5,1.2,2.7,11.8,0,126.642,117.283
14,Ryan Arcidiacono\arcidry01,PG,25,CHI,7,0,15.6,1.3,3.0,.429,1.0,1.9,.538,0.3,1.1,.250,.595,0.9,1.0,.857,0.6,1.3,1.9,1.7,0.4,0.1,0.1,1.9,4.4,0,36.480,35.700
15,Trevor Ariza\arizatr01,SF,34,SAC,7,0,23.9,1.3,4.0,.321,1.0,3.0,.333,0.3,1.0,.286,.446,0.3,0.3,1.000,0.4,3.9,4.3,1.0,0.6,0.0,0.3,1.3,3.9,0,31.621,29.281
16,D.J. Augustin\augusdj01,PG,32,ORL,6,5,25.0,3.0,7.7,.391,0.5,2.0,.250,2.5,5.7,.441,.424,1.2,1.5,.778,0.5,1.2,1.7,4.3,0.2,0.0,0.8,0.7,7.7,0,31.097,24.858
17,Deandre Ayton\aytonde01,C,21,PHO,1,1,33.0,9.0,14.0,.643,0.0,0.0,,9.0,14.0,.643,.643,0.0,0.0,,3.0,8.0,11.0,0.0,1.0,4.0,0.0,2.0,18.0,0,199.794,199.794
18,Dwayne Bacon\bacondw01,SG,24,CHO,6,6,29.2,5.0,13.7,.366,0.8,3.7,.227,4.2,10.0,.417,.396,2.2,3.0,.722,1.0,3.5,4.5,2.0,1.0,0.0,1.5,2.7,13.0,0,32.811,21.113
19,Marvin Bagley\baglema01,PF,20,SAC,1,1,28.0,6.0,16.0,.375,0.0,0.0,,6.0,16.0,.375,.375,2.0,4.0,.500,4.0,6.0,10.0,0.0,1.0,1.0,1.0,1.0,14.0,0,35.864,28.065
20,Lonzo Ball\balllo01,PG,22,NOP,6,6,31.5,4.3,10.7,.406,2.3,6.2,.378,2.0,4.5,.444,.516,1.0,1.7,.600,0.7,4.3,5.0,7.3,1.8,0.2,2.2,2.2,12.0,0,101.449,84.291
21,Mo Bamba\bambamo01,C,21,ORL,5,0,13.0,2.0,5.0,.400,0.6,1.8,.333,1.4,3.2,.438,.460,0.2,0.4,.500,0.8,3.8,4.6,0.4,0.2,0.4,0.8,2.2,4.8,0,30.445,24.206
22,Harrison Barnes\barneha02,SF,27,SAC,7,7,32.7,5.7,11.6,.494,1.1,3.4,.333,4.6,8.1,.561,.543,1.4,1.9,.769,1.4,4.1,5.6,1.1,1.4,0.1,1.0,1.3,14.0,0,76.440,68.641
23,RJ Barrett\barrerj01,SG,19,NYK,7,7,37.1,7.0,16.1,.434,1.4,4.0,.357,5.6,12.1,.459,.478,2.9,6.0,.476,1.7,4.6,6.3,3.3,1.3,0.4,2.9,2.6,18.3,0,55.929,33.312
24,Will Barton\bartowi01,SG,29,DEN,4,4,29.5,4.3,11.0,.386,1.5,3.5,.429,2.8,7.5,.367,.455,4.0,4.8,.842,2.3,4.0,6.3,1.5,1.3,1.0,1.3,1.3,14.0,0,88.538,78.399
25,Nicolas Batum\batumni01,SF,31,CHO,1,0,11.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,1.0,3.0,4.0,2.0,0.0,0.0,2.0,2.0,0.0,0,19.789,4.191
26,Aron Baynes\baynear01,C,33,PHO,6,5,23.2,5.2,9.0,.574,2.0,4.3,.462,3.2,4.7,.679,.685,2.7,3.5,.762,2.0,3.7,5.7,3.2,0.3,0.8,1.2,4.3,15.0,0,106.481,97.122
27,Kent Bazemore\bazemke01,SF,30,POR,6,0,24.8,2.8,7.5,.378,1.0,2.7,.375,1.8,4.8,.379,.444,1.3,2.2,.615,0.3,4.5,4.8,1.3,1.2,1.2,1.5,4.3,8.0,0,67.297,55.599
28,Darius Bazley\bazleda01,PF,19,OKC,6,0,17.3,1.7,3.5,.476,0.8,1.8,.455,0.8,1.7,.500,.595,0.8,1.0,.833,0.3,3.5,3.8,0.5,0.2,0.3,1.5,0.8,5.0,0,37.997,26.299
29,Bradley Beal\bealbr01,SG,26,WAS,5,5,34.6,8.8,22.2,.396,3.4,10.0,.340,5.4,12.2,.443,.473,6.4,7.8,.821,0.6,4.0,4.6,6.4,1.6,0.4,3.8,2.8,27.4,0,121.078,91.442
